PHN code ,PHN name,No.,Per 100 residents,,No.,"Per 1,000 Indigenous residents",,No.,"Per 100,000 Indigenous residents",,No.,Per 100 Indigenous residents,
101,Central and Eastern Sydney,"15,343",1.0,,"1,583",34.4,,96,125.4,,"1,232",8.0,
102,Northern Sydney,"3,158",0.4,,146,15.4,,8,50.7,,128,4.1,
103,Western Sydney,"15,034",1.6,,"1,872",41.5,,99,131.8,,"1,668",11.1,
104,Nepean Blue Mountains,"11,615",3.2,,"1,020",29.3,,55,94.6,,"1,786",15.4,
105,South Western Sydney,"16,695",1.8,,"1,576",31.5,,83,99.1,,"2,831",17.0,
106,South Eastern NSW,"21,274",3.5,,"2,045",32.0,,126,118.5,,"4,073",19.1,
107,Western NSW,"35,888",11.5,,"4,919",45.7,,379,211.3,,"12,510",34.9,
108,Hunter New England and Central Coast,"63,153",5.1,,"6,820",36.0,,469,148.4,,"13,077",20.7,
109,North Coast,"27,768",5.5,,"3,987",47.9,,238,171.8,,"7,102",25.6,
110,Murrumbidgee,"12,036",5.0,,"1,699",47.0,,106,175.7,,"3,027",25.1,
201,North Western Melbourne,"10,684",0.7,,"1,004",31.3,,n.p.,n.p.,,"1,551",14.5,
202,Eastern Melbourne,"6,643",0.5,,574,28.8,,n.p.,n.p.,,450,6.8,
203,South Eastern Melbourne,"7,514",0.5,,657,29.1,,n.p.,n.p.,,559,7.4,
204,Gippsland,"5,141",1.9,,613,39.7,,n.p.,n.p.,,689,13.4,
205,Murray,"15,075",2.6,,"1,721",38.0,,n.p.,n.p.,,"3,204",21.3,
206,Western Victoria,"8,017",1.3,,689,28.6,,n.p.,n.p.,,"1,433",17.9,
301,Brisbane North,"19,517",2.1,,"2,370",40.5,,129,131.7,,"5,880",30.1,
302,Brisbane South,"26,255",2.4,,"2,899",36.8,,193,147.0,,"7,435",28.3,
303,Gold Coast,"8,581",1.5,,726,28.2,,33,76.9,,"2,102",24.5,
304,Darling Downs and West Moreton,"25,240",4.6,,"4,079",53.9,,226,178.9,,"7,878",31.2,
305,Western Queensland,"14,314",19.9,,"3,333",77.6,,234,326.9,,"3,816",26.7,
306,"Central Queensland, Wide Bay, Sunshine Coast","31,153",3.8,,"4,160",44.5,,236,151.3,,"8,906",28.6,
307,Northern Queensland,"80,475",11.5,,"12,994",53.8,,759,188.6,,"26,243",32.6,
401,Adelaide,"20,112",1.7,,"2,364",39.2,,163,162.1,,"2,606",13.0,
402,Country SA,"20,111",4.1,,"3,994",66.2,,223,221.8,,"4,727",23.5,
501,Perth North,"17,310",1.6,,"1,870",36.0,,165,190.6,,"3,504",20.2,
502,Perth South,"20,824",2.1,,"2,458",39.3,,212,204.1,,"4,316",20.7,
503,Country WA,"56,619",10.3,,"14,273",84.0,,955,337.2,,"13,565",24.0,
601,Tasmania,"26,142",5.1,,"1,337",17.0,,n.p.,n.p.,,"2,017",7.7,
701,Northern Territory,"72,823",29.4,,"20,450",93.6,,"1,301",357.2,,"19,309",26.5,
801,Australian Capital Territory,"6,804",1.8,,619,30.3,,n.p.,n.p.,,"1,447",21.3,

